Sales
product_id,store_id,date,sales,revenue,stock,price,promo_type_1,promo_type_2
P0215,S0097,1/2/17,0,0,76,1.49,PR14,PR03
P0216,S0102,1/2/17,0,0,7,1.49,PR14,PR03
P0217,S0103,1/2/17,1,1.38,112,1.49,PR14,PR03
P0218,S0104,1/2/17,0,0,83,1.49,PR14,PR03
P0219,S0105,1/2/17,0,0,6,1.49,PR14,PR03
P0220,S0106,1/2/17,2,2.76,6,1.49,PR14,PR03
P0221,S0107,1/2/17,0,0,7,1.49,PR14,PR03
P0222,S0108,1/2/17,0,0,23,1.49,PR14,PR03
P0223,S0110,1/2/17,0,0,27,1.49,PR14,PR03
P0224,S0112,1/2/17,13,12.04,0,,PR14,PR03
P0225,S0113,1/2/17,0,0,18,1.49,PR14,PR03
P0226,S0115,1/2/17,0,0,28,1.49,PR14,PR03
P0227,S0117,1/2/17,0,0,8,1.49,PR14,PR03
P0228,S0121,1/2/17,6,5.56,0,,PR14,PR03
P0229,S0122,1/2/17,0,0,6,1.49,PR14,PR03
P0230,S0123,1/2/17,5,6.9,46,1.49,PR14,PR03
P0231,S0125,1/2/17,1,1.38,28,1.49,PR14,PR03
P0232,S0126,1/2/17,2,2.76,19,1.49,PR14,PR03
P0233,S0131,1/2/17,0,0,38,1.49,PR14,PR03
P0234,S0132,1/2/17,0,0,26,1.49,PR14,PR03
P0235,S0137,1/2/17,0,0,8,1.49,PR14,PR03
P0236,S0138,1/2/17,2,2.76,35,1.49,PR14,PR03
P0237,S0139,1/2/17,2,2.76,16,1.49,PR14,PR03
P0238,S0140,1/2/17,0,0,1,1.49,PR14,PR03
P0239,S0142,1/2/17,0,0,17,1.49,PR14,PR03
P0240,S0144,1/2/17,0,0,5,1.49,PR14,PR03
P0241,S0001,1/2/17,0,0,49,1.95,PR14,PR03
P0242,S0002,1/2/17,1,1.81,37,1.95,PR14,PR03
P0243,S0003,1/2/17,0,0,12,1.95,PR14,PR03
P0244,S0004,1/2/17,0,0,17,1.95,PR14,PR03
P0245,S0006,1/2/17,0,0,23,1.95,PR14,PR03
P0246,S0008,1/2/17,0,0,15,1.95,PR14,PR03
P0247,S0009,1/2/17,0,0,5,1.95,PR14,PR03
P0248,S0010,1/2/17,0,0,8,1.95,PR14,PR03
P0249,S0012,1/2/17,1,1.81,16,1.95,PR14,PR03
P0250,S0013,1/2/17,0,0,9,1.95,PR14,PR03
P0251,S0014,1/2/17,0,0,13,1.95,PR14,PR03
P0252,S0015,1/2/17,2,3.61,4,1.95,PR14,PR03
P0253,S0016,1/2/17,0,0,20,1.95,PR14,PR03
P0254,S0018,1/2/17,2,3.61,39,1.95,PR14,PR03
P0255,S0019,1/2/17,0,0,23,1.95,PR14,PR03
P0256,S0020,1/2/17,0,0,14,1.95,PR14,PR03
P0257,S0021,1/2/17,0,0,22,1.95,PR14,PR03
P0258,S0022,1/2/17,0,0,16,1.95,PR14,PR03
P0259,S0023,1/2/17,0,0,28,1.95,PR14,PR03
P0260,S0024,1/2/17,0,0,27,1.95,PR14,PR03
P0261,S0025,1/2/17,0,0,12,1.95,PR14,PR03
P0262,S0026,1/2/17,0,0,30,1.95,PR14,PR03
P0263,S0027,1/2/17,0,0,8,1.95,PR14,PR03
P0264,S0028,1/2/17,2,3.61,0,,PR14,PR03
P0265,S0030,1/2/17,1,1.81,5,1.95,PR14,PR03
P0266,S0031,1/2/17,0,0,1,1.95,PR14,PR03
P0267,S0032,1/2/17,0,0,23,1.95,PR14,PR03
P0268,S0033,1/2/17,1,1.81,5,1.95,PR14,PR03
P0269,S0034,1/2/17,0,0,20,1.95,PR14,PR03
P0270,S0035,1/2/17,0,0,11,1.95,PR14,PR03
P0271,S0038,1/2/17,2,3.61,65,1.95,PR14,PR03
P0272,S0039,1/2/17,0,0,27,1.95,PR14,PR03
P0273,S0040,1/2/17,0,0,15,1.95,PR14,PR03
P0274,S0041,1/2/17,0,0,21,1.95,PR14,PR03
P0275,S0043,1/2/17,0,0,83,1.95,PR14,PR03
P0276,S0044,1/2/17,0,0,2,1.95,PR14,PR03
P0277,S0045,1/2/17,0,0,8,1.95,PR14,PR03
P0278,S0049,1/2/17,0,0,27,1.95,PR14,PR03
P0279,S0050,1/2/17,0,0,21,1.95,PR14,PR03
P0280,S0051,1/2/17,1,1.81,9,1.95,PR14,PR03
P0281,S0052,1/2/17,0,0,42,1.95,PR14,PR03
P0282,S0053,1/2/17,1,1.81,9,1.95,PR14,PR03
P0283,S0055,1/2/17,0,0,48,1.95,PR14,PR03
P0284,S0056,1/2/17,1,1.81,2,1.95,PR14,PR03
P0285,S0058,1/2/17,0,0,22,1.95,PR14,PR03
P0286,S0062,1/2/17,0,0,34,1.95,PR14,PR03
P0287,S0063,1/2/17,0,0,15,1.95,PR14,PR03
P0288,S0065,1/2/17,0,0,22,1.95,PR14,PR03
P0289,S0066,1/2/17,0,0,23,1.95,PR14,PR03
P0290,S0067,1/2/17,0,0,19,1.95,PR14,PR03
P0291,S0068,1/2/17,0,0,5,1.95,PR14,PR03
P0292,S0070,1/2/17,0,0,14,1.95,PR14,PR03
P0293,S0073,1/2/17,0,0,21,1.95,PR14,PR03
P0294,S0074,1/2/17,1,1.81,13,1.95,PR14,PR03
P0295,S0077,1/2/17,0,0,1,1.95,PR14,PR03
P0296,S0078,1/2/17,0,0,16,1.95,PR14,PR03
P0297,S0080,1/2/17,0,0,2,1.95,PR14,PR03
P0298,S0082,1/2/17,0,0,14,1.95,PR14,PR03
P0299,S0083,1/2/17,0,0,18,1.95,PR14,PR03
P0300,S0084,1/2/17,4,7.22,16,1.95,PR14,PR03
P0301,S0085,1/2/17,0,0,16,1.95,PR14,PR03
P0302,S0086,1/2/17,0,0,6,1.95,PR14,PR03
P0303,S0087,1/2/17,0,0,14,1.95,PR14,PR03
P0304,S0088,1/2/17,0,0,24,1.95,PR14,PR03
P0305,S0089,1/2/17,0,0,20,1.95,PR14,PR03
P0306,S0090,1/2/17,0,0,20,1.95,PR14,PR03
P0307,S0091,1/2/17,0,0,2,1.95,PR14,PR03
P0308,S0093,1/2/17,0,0,2,1.95,PR14,PR03
P0309,S0094,1/2/17,0,0,17,1.95,PR14,PR03
P0310,S0095,1/2/17,0,0,19,1.95,PR14,PR03
P0311,S0096,1/2/17,0,0,7,1.95,PR14,PR03
P0312,S0097,1/2/17,0,0,37,1.95,PR14,PR03
P0313,S0099,1/2/17,2,3.61,4,1.95,PR14,PR03
P0314,S0102,1/2/17,0,0,5,1.95,PR14,PR03
P0315,S0103,1/2/17,0,0,9,1.95,PR14,PR03
P0316,S0104,1/2/17,0,0,78,1.95,PR14,PR03
P0317,S0105,1/2/17,0,0,27,1.95,PR14,PR03
P0318,S0106,1/2/17,0,0,25,1.95,PR14,PR03
P0319,S0107,1/2/17,0,0,24,1.95,PR14,PR03
P0320,S0108,1/2/17,0,0,6,1.95,PR14,PR03
P0321,S0110,1/2/17,0,0,31,1.95,PR14,PR03
P0322,S0112,1/2/17,1,1.81,0,,PR14,PR03
P0323,S0113,1/2/17,0,0,14,1.95,PR14,PR03
P0324,S0115,1/2/17,0,0,36,1.95,PR14,PR03
P0325,S0116,1/2/17,0,0,9,1.95,PR14,PR03
P0326,S0117,1/2/17,0,0,8,1.95,PR14,PR03
P0327,S0119,1/2/17,0,0,2,1.95,PR14,PR03
P0328,S0120,1/2/17,0,0,10,1.95,PR14,PR03
P0329,S0122,1/2/17,0,0,24,1.95,PR14,PR03
P0330,S0123,1/2/17,0,0,10,1.95,PR14,PR03
P0331,S0124,1/2/17,0,0,1,1.95,PR14,PR03
P0332,S0125,1/2/17,0,0,43,1.95,PR14,PR03
P0333,S0126,1/2/17,0,0,10,1.95,PR14,PR03
P0334,S0127,1/2/17,0,0,10,1.95,PR14,PR03
P0335,S0130,1/2/17,0,0,21,1.95,PR14,PR03
P0336,S0131,1/2/17,0,0,16,1.95,PR14,PR03
P0337,S0132,1/2/17,0,0,37,1.95,PR14,PR03
P0338,S0135,1/2/17,0,0,13,1.95,PR14,PR03
P0339,S0137,1/2/17,0,0,26,1.95,PR14,PR03
P0340,S0138,1/2/17,1,1.81,6,1.95,PR14,PR03
P0341,S0139,1/2/17,0,0,8,1.95,PR14,PR03
P0342,S0140,1/2/17,0,0,7,1.95,PR14,PR03
P0343,S0141,1/2/17,0,0,24,1.95,PR14,PR03
P0344,S0142,1/2/17,0,0,2,1.95,PR14,PR03
P0345,S0143,1/2/17,0,0,6,1.95,PR14,PR03
P0346,S0144,1/2/17,0,0,25,1.95,PR14,PR03
P0347,S0001,1/2/17,0,0,23,1.95,PR14,PR03
P0348,S0002,1/2/17,0,0,36,1.95,PR14,PR03
P0349,S0020,1/2/17,0,0,45,1.95,PR14,PR03
P0350,S0031,1/2/17,0,0,17,1.95,PR14,PR03
P0351,S0038,1/2/17,0,0,30,1.95,PR14,PR03
P0352,S0040,1/2/17,1,1.81,39,1.95,PR14,PR03
P0353,S0043,1/2/17,0,0,84,1.95,PR14,PR03
P0354,S0051,1/2/17,0,0,11,1.95,PR14,PR03
P0355,S0056,1/2/17,1,1.81,10,1.95,PR14,PR03
P0356,S0066,1/2/17,0,0,5,1.95,PR14,PR03
P0357,S0085,1/2/17,1,1.81,45,1.95,PR14,PR03
P0358,S0094,1/2/17,0,0,56,1.95,PR14,PR03
P0359,S0097,1/2/17,0,0,49,1.95,PR14,PR03
P0360,S0104,1/2/17,0,0,28,1.95,PR14,PR03
P0361,S0110,1/2/17,0,0,16,1.95,PR14,PR03
P0362,S0115,1/2/17,0,0,37,1.95,PR14,PR03
P0363,S0126,1/2/17,0,0,20,1.95,PR14,PR03
P0364,S0001,1/2/17,2,4.54,14,2.45,PR14,PR03
P0365,S0002,1/2/17,2,4.54,15,2.45,PR14,PR03
P0366,S0003,1/2/17,1,2.27,8,2.45,PR14,PR03
P0367,S0008,1/2/17,0,0,5,2.45,PR14,PR03
P0368,S0009,1/2/17,0,0,15,2.45,PR14,PR03
P0369,S0011,1/2/17,0,0,1,2.45,PR14,PR03
P0370,S0012,1/2/17,0,0,8,2.45,PR14,PR03
P0371,S0013,1/2/17,2,4.54,5,2.45,PR14,PR03
P0372,S0014,1/2/17,1,2.27,4,2.45,PR14,PR03
P0373,S0015,1/2/17,1,2.27,5,2.45,PR14,PR03
P0374,S0016,1/2/17,0,0,2,2.45,PR14,PR03
P0375,S0018,1/2/17,0,0,1,2.45,PR14,PR03
P0376,S0020,1/2/17,0,0,2,2.45,PR14,PR03
P0377,S0021,1/2/17,0,0,4,2.45,PR14,PR03
P0378,S0022,1/2/17,0,0,1,2.45,PR14,PR03
P0379,S0023,1/2/17,2,4.54,49,2.45,PR14,PR03
P0380,S0024,1/2/17,1,2.27,0,2.45,PR14,PR03
